word,transcription,definition
𐁖𐀂𐀴,*56-i-ti,dative? theonym?  variant spelling of *56-i-ti Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐁖𐀉𐀝𐀏,*56-du-nu-ka,anthroponym KN Da: do-ti-ja KN Dv: ra-to KN Da KN Dv: OVIS Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐁖𐀒𐀸,*56-ko-we,"van Alfen 2008: toponym  toponym   Appears as """"ki-nu-qa *56-ko-we"""" on KN Ap 618+. Appears with sa-qa-re-jo on two KN Dl tablets. Appears as """"*56-ko-we / o-pi"""" on KN Le 5646+. *56-ko-we (KN Db): ru-ki-totoponym *56-ko-we-e (KN Dl): e-ratheonym or toponym *56-ko-we-i (KN Dn): da-*22-totoponym *56-ko-we-i (KN Dm): e-ko-sotoponym LUNA: KN G M: KN Ga MUL: KN Ap OVIS: KN Da KN Db KN Dc KN Dd KN Df KN Dl KN Dn KN Dv TELA+TE: KN Le a-ra-si-jo: KN Df a-ze-ohapax: KN Dv a3-ta-ro-we?ro-u-so: KN Da da-ra-mu-rohapax: KN Dc ka-ptehapax: KN Df ka-*56-nohapax: KN Df ke-to (u-ta-jo): KN Da ki-nu-qahapax: KN Ap no-da-ro: KN Dc o-wi-rohapax: KN Dd sa-nu-we-tahapax: KN Db wi-na-joe-ra ra-su-to ru-ki-to: KN Db wi-*65-te-uhapax: KN Dc Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek van Alfen Peter G. A Companion to Linear B: Mycenaean Greek Texts and their World (ed. Yves Duhoux & Anna Morpurgo-Davies) """"The Linear B Inscribed Vases"""""
𐁖𐀡𐀰,*56-po-so,anthroponym? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐁖𐀨𐀓𐀊,*56-ra-ku-ja,"Duhoux 2008: """"presumably refers to the colour of the cloths; if identical with pa-ra-ku-ja it could perhaps be compared to terms like σμάραγδος 'emerald' or βαρακίς γλαύκινον ἱμάτιον 'bluish green piece of cloth' (Hesychius) (??)"""" Bernabé & Luján 2008: """"with pa-ra-ku- colour""""  nominative plural neuter description of textiles cf. pa-ra-ku-ja Bernabé Alberto and Eugenio Luján 2008 A Companion to Linear B: Mycenaean Greek Texts and their World (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean Technology” Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Duhoux Yves 2008 A Companion to Linear B: Mycenaean Greek Texts and their World """"Mycenaean Anthology"""""
𐁖𐀪𐀵,*56-ri-to,anthroponym OVIS: KN Db ru-ki-to: KN Db Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐁖𐀬𐀸,*56-ru-we,Duhoux 2008: probable anthroponym Duhoux Yves 2008 A Companion to Linear B: Mycenaean Greek Texts and their World “Mycenaean Anthology”
𐁖𐁊,*56-ro2,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐁗𐀳𐀨𐀆,*63-te-ra-de,"Duhoux 2008: toponym VIN: TH Gp Duhoux Yves 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I """"Mycenaean Anthology"""""
𐁚𐀆,*82-de,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
ai𐀏𐀭𐀔,ai-ka-sa-ma,points heads
ai𐀭,ai-sa,portion
ai𐀼,ai-za,goat
pe,pe,last years
Po𐀴𐀛𐀀,Po-ti-ni-a,goddess surname
qe,qe,and
𐀀35𐀏,a-*35-ka,adjective describing textiles? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀35𐀵,a-*35-to,adjective describing textiles? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀁𐀅𐀈𐀫,a-e-da-do-ro,anthroponym KN F: a-me-jaanthroponym a-ta-ti-nuhapax anthroponym KN Sc: ku-ru-me-noanthroponym po-*34-wi-dohapax anthroponym KN Sc: BIG Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀁𐀪𐀤,a-e-ri-qe,"anthroponym? """"uncertain if -qe is the particle que 'and'"""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀁𐀪𐀦,a-e-ri-qo,Ramón 2011: anthroponym shortened form of a-e-ri-qo-ta (cf. pe-ri-mo pe-ri-me-de; pe-ri-to pe-ri-to-wo; etc.)  anthroponym shortened form of a-e-ri-qo-ta? BOS: TH Wu OVIS: TH Wu VIR: PY An Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Ramón J.L. García 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean Onomastics”
𐀀𐀁𐀪𐀦𐀲,a-e-ri-qo-ta,"Aura Jorro 1999: anthroponym probably Ἀερι-φόντᾶς cf. ἦρι 'early' Ramón 2011: compound anthroponym full form of a-e-ri-qo Leukart 1994: anthroponym cf. ἠεροφοῖτις 'walking in darkness' Hajnal 1992: anthroponym cf. ἄορ 'killing with a sword'  anthroponym cf. Homeric ἦρι ἠέριος; -φοίτης PY An PY Aq: VIR PY An PY Aq: [[o-wi-to-no]]? Aura Jorro Francisco 1999 Diccionario Micénico vol. I Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Hajnal Ivo 1992 Mykenaïka """"Der mykenische Personenname a-e-ri-qo-ta"""" Leukart Alex 1994 Die frühgriechischen Nomina auf -tãs und -ãs. Untersuchungen zu ihrer Herkunft und Ausbreitung (unter Vergleich mit der Nomina auf -eus) Ramón J.L. García 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean Onomastics”"
𐀀𐀁𐀮𐀷,a-e-se-wa,anthroponym dative Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀁𐀴𐀵,a-e-ti-to,"Bernabé & Luján 2008: henna? Melena 1983: """"not-Heti-scented or -softened""""  """"epithet of sage-scented oil: 'without e-ti'"""" Bernabé Alberto and Eugenio Luján 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) """"Mycenaean Technology"""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Melena José L. 1983 Minos vol. 18 """"Olive Oil and Other Sorts of Oil in the Mycenaean Tablets"""""
𐀀𐀂𐀤𐀄,a-i-qe-u,anthroponym Lejeune 1968: anthroponym hypocoristic of *'A(h)ι῏φόντας 'he who kills with the sword'  genitive of a-i-qe-u  dative of a-i-qe-u Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Lejeune 1968 TBD
𐀀𐀃𐀪𐀍,a-o-ri-jo,toponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀃𐀪𐀕𐀚,a-o-ri-me-ne,anthroponym cf. ἄορ μένος Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀃𐀽𐀍,a-o-ze-jo,"""""second element of compound place name""""? see e-ro2-ne Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀄𐀤,a-u-qe,error for [[o-u-qe]] Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀄𐀲𐀙,a-u-ta-na,anthroponym? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀅𐀔𐀃,a-da-ma-o,anthroponym  genitive of a-da-ma-o  defective spelling of a-da-ma-o-jo [[qe-re-qo-ta-o]] on PY En 659 Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀅𐀨𐀒,a-da-ra-ko,anthroponym? dative Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀅𐀨𐀫,a-da-ra-ro,anthroponym KN Da: da-wo KN Da: OVIS Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀅𐀨𐀳𐀊,a-da-ra-te-ja,feminine anthroponym? cf. Ἄδρήστεια Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀅𐀨𐀴𐀍,a-da-ra-ti-jo,patronymic adjective cf. Ἄδρηστος Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀅𐀷𐀯𐀍,a-da-wa-si-jo,adjective describing a man perhaps patronymic Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀅𐀺𐀚,a-da-wo-ne,anthroponym dative? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀆𐀕𐀸,a-de-me-we,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀆𐀳,a-de-te,binder? Palmer 1963: riveter cf. (*-te *-te-re) a-ke-te-re a3-te-re ko-re-te-re ma-te-re pi-ri-je-te-re ra-pte-re tu-ka-te-re  dual of a-de-te Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Palmer 1963 TBD
𐀀𐀆𐀸,a-de-we,
𐀀𐀆𐁈,a-de-ra2,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀇𐀋𐀺,a-di-je-wo,anthroponym genitive cf. a2-di-je-u Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀇𐀪𐀊𐀳,a-di-ri-ja-te,
𐀀𐀇𐀪𐀊𐀳,a-di-ri-ja-te,inlaid with a figure of a man
𐀀𐀇𐀪𐀍,a-di-ri-jo,anthroponym KN Do: ko-te-uanthroponym KN Do: se-to-i-ja Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀇𐁅𐀲,a-di-nwa-ta,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀇𐁒𐀭,a-di-*22-sa,obscure (i.e. not known) KN F: GRA+PE NI Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀈𐀸,a-do-we,"""""single word inscribed on jars"""" anthroponym? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀉𐀡𐀵,a-du-po-to,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀉𐀬𐀡𐀵,a-du-ru-po-to,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀊𐀕𐀙,a-ja-me-na,with symbols
𐀀𐀊𐀕𐀜,a-ja-me-no,"inlaid masculine nominative singular Aura Jorro 1985: a) aplicado a cajas de carros (KN Sf) b) un nombre de materia cf. e-re-pa-te pa-ra-ku-we ku-ru-so etc. c) la parte del objeto afectada o del motivo empleado aplicado a piezas de mobiliario cf. a-di-ri-ja-pi po-ni-ki-pi etc. Bernabé & Luján 2008: inlaid always followed by a material in the instrumental  feminine nominative singular Aura Jorro 1985: el mismo que a-ja-me-no Aura Jorro Francisco 1985 Diccionario Micénico vol. I Bernabé Alberto and Eugenio Luján 2008 A Companion to Linear B: Mycenaean Greek Texts and their World (editors Yves Duhoux and Anna Morpurgo Davies) """"Mycenaean Technology"""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek kar WNXIV.164 participle candidates"
𐀀𐀎𐀔𐀙𐀐,a-*65-ma-na-ke,recipient of offerings theonym? KN Fs: HORD NI Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀎𐀙,a-*65-na,obscure (i.e. not defined) Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀏,a-ka,Van Spitael & Faure 1977: toponym classical Ἀχάρνα  1. anthroponym 2. toponym Aura Jorro 1985: 1. probablemente neutro en -ας cf. a-ka-i-jo. En la misma región que ru-ki-to y pu-so. 2. probablemente hipocorístico de Άλκᾶς (PY An) a-ka (KN Dn): pu-sotoponym ru-ki-totoponym (where a-ka is a toponym) KN Da: a-ko-ro-qo-rohapax au-ri-joku-ta-to su-ri-mo wi-na-to e-ki-nohapax e-ne-ke-se-uhapax ka-ne-u-tahapax o-ku-nohapax po-i-te-uhapax KN Da KN Dn: OVIS Auro Jorro Francisco 1985 Diccionario Micénico vol. I Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Van Spitael Marie-Anne and Paul Faure 1977 ΚΡΗΤΟΛΟΓΙΑ 5 «Villes et villages de la Crète centrale. Listes inédites de l'époque Vénetienne comparées aux tablettes de Knosos»
𐀀𐀏𐀂𐀍,a-ka-i-jo,"anthroponym  feminine adjectival formation on a-ka-i-jo? a-ka-i-jo appears in the """"owner"""" / """"collector"""" position with """"ko-ti / pa-i-to"""" on KN De 1084. Appears as """"a-ka-i-je-ja  du-qo-te-ja LANA 2"""" on TH Of 27. Appears as """"(a)-ka-i-je-ja  pu2-ke-qi-ri-ne-ja LANA 2"""" on TH Of 27. LANA: TH Of OVIS: KN De pa-i-to: KN De Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀏𐀂𐀍,a-ka-i-jo,"anthroponym  feminine adjectival formation on a-ka-i-jo? a-ka-i-jo appears in the """"owner"""" / """"collector"""" position with """"ko-ti / pa-i-to"""" on KN De 1084. Appears as """"a-ka-i-je-ja  du-qo-te-ja LANA 2"""" on TH Of 27. Appears as """"(a)-ka-i-je-ja  pu2-ke-qi-ri-ne-ja LANA 2"""" on TH Of 27. LANA: TH Of OVIS: KN De pa-i-to: KN De Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀏𐀆,a-ka-de,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀏𐀔𐀍,a-ka-ma-jo,anthroponym dative cf. Ἀλκμαίων Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀏𐀔𐀜,a-ka-ma-no,(as a-ka-(ma)-no)  anthroponym cf. Ἀλκμήνωρ Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀏𐀔𐀺,a-ka-ma-wo,anthroponym cf. Ἀλκμάων PY Cn 131 (context: pa-ro & OVIS): a-no-poPY Va a-ri-wo-ne a-ta-ma-ne-we a-we-ke-se-we do-qo-nohapax [[e-ti-ra-wo]]PY Sa gen. [[ke-ro-wo]]PY Ae ke-sa-me-noPY Fn ko-roKN De ko-ru-no ku-pi-ri-joKN Fh KN Ga PY Jn PY Un me-te-wehapax ne-ri-tohapax [[o-ku-ka]] [[pi-me-ta]]hapax po-ke-wehapax po-ko-ro po-ro-u-te-wePY Jn gen.; KN Dc PY Jn nom. ra-pa-sa-ko se-noPY Es [[wo-ki-to]]hapax Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀏𐀕𐀚,a-ka-me-ne,(as a-ka-me-ne[)  anthroponym? cf. Ἀχαιμένης Ἀλκαμένης Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀏𐀙𐀍,a-ka-na-jo,toponym or adjective describing sheep and goats? cf. a3-ka-na-jo Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀏𐀨𐀜,a-ka-ra-no,"Bernabé & Luján 2008: 'without a top' """"showing that as one would expect the different components of a table (top legs etc.) were separate pieces and they were assembled only when the table had to be used.""""  adjective describing a table 'headless'? cf. ἀκάρηνος Bernabé Alberto and Eugenio Luján 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀏𐀩𐀄,a-ka-re-u,anthroponym AROM: KN Ga pa-i-to: KN Ga Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀏𐀩𐀄𐀳,a-ka-re-u-te,toponym in dative-locative? cf. a-ke-re-u-te Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀏𐀭𐀜,a-ka-sa-no,anthroponym cf. Ἀλχσήνορ Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀏𐀯𐀍𐀚,a-ka-si-jo-ne,toponym locative? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀏𐀲𐀍,a-ka-ta-jo,by the coast
𐀀𐀏𐀲𐀍,a-ka-ta-jo,anthroponym  genitive of a-ka-ta-jo KN Dv: OVIS PY Eo: GRA KN Dv: da-*83-ja Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀏𐀲𐀨𐀳𐀰𐀆,a-ka-ta-ra-te-so-de,McArthur 1993: toponym allative  toponym? allative? OLE: KN Fp Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek McArthur Jennifer K. 1993 Suplementos a MINOS núm. 9 “Place-Names in the Knossos Tablets Identification and Location”
𐀀𐀏𐀵,a-ka-to,"Ilievski 1996: anthroponym cf. Ἄγαθος Ἀγάθων Ἄχαστος Ἄχανθος BIG: KN Sc EQU: KN Sc OVIS: KN Dv TUN: KN Sc ra-to: KN Dv Ilievski Petar Hr. 1996 Attí e memorie del secondo congresso internazionale di micenologia vol. 1 Filologia “The Mycenaean Personal Names in -to with regard to the derivatives from verbal adjectives"""""
𐀀𐀏𐀵𐀷,a-ka-to-wa,"anthroponym  genitive of a-ka-to-wa Appears as """"a-ka-to-wa-o / au-to-te-qa-jo (O)["""" on TH Ug 4. Appears as """"a-ka-to-wa-o / ka-e-sa-me-no  au-ri-jo O["""" on TH Ug 5. Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀏𐀹𐀊𐀆,a-ka-wi-ja-de,"toponym probably allative Ruijgh 1967: toponym in -ία cf. common Cretan village name Attic Ἀχαΐα Risch 1965: toponym *Ἀχαιƒία """"region of the Achaeans"""" in -ία derivative of ethnic *Ἀχαιƒός Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Ruijgh C.J. 1967 Études sur la grammaire et le vocabulaire du grec mycénien Risch Ernst 1965 Museum helveticum (MH) 22 «Ein Gang durch die Geschichte der griechischen Ortsnamen»"
𐀀𐀏𐀹𐀊𐀆,a-ka-wi-ja-de,name of a feast
𐀀𐀏𐀺,a-ka-wo,anthroponym  dative of a-ka-wo AUR: PY Jo MA: PY Un Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀐,a-ke,3rd singular present indicative active voice of ἄγω? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀐,a-ke,leads guides
𐀀𐀐𐀁𐀵,a-ke-e-to,Aura Jorro 1985: antropónimo masculino nominativo  anthroponym In a ra-su-to context on KN Da: a-me-a KN Da: ra-su-to KN Da: OVIS Aura Jorro Francisco 1985 Diccionario Micénico vol. I Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀐𐀃,a-ke-o,"anthroponym  genitive of a-ke-o Appears as """"a-ke-o  ka-wi-jo VIR 1"""" on PY An 192. Appears as """"a-ke-o  a-ke-re"""" on PY Cc 660.a. Appears as """"a-te-re-wi-ja () pa-ro  e-wi-te-we  a-ke-o-jo OVISf 70"""" on PY Cn 40. Appears as """"[[u-po-ra-ki-ri-ja]]  pa-ro  pe-qe-we  a-ke-o-jo OVISf 65"""" on PY Cn 45. Appears as """"pu-ro [[ra-wa-ra-ti-jo]]  pa-ro  a-ko-to-wo  a-ke-o-jo CAPf 50"""" on PY Cn 45. Appears as """"pu-ro [[ra-wa-ra-ti-jo]]  ka-ra-wa-ni-ta  a-ke-o-jo CAPm 100"""" on PY Cn 45. Appears as """"[[u-po-ra-ki-ri-ja]]  [[wi-ja-te-u|wi-ja-te-we]]  a-ke-o-jo CAPf 1(5)"""" on PY Cn 45. Appears as """"pu-ro  [[ra-wa-ra-ti-jo]]  ka-ra-wa-ni-ta  a-ke-o-jo CAPm 100"""" on PY Cn 45. Appears as """"a-si-ja-ti-ja[]pa-ro  [[i-sa-na-o-ti]]  a-ke-o-jo OVISf["""" on PY Cn 254. Appears as """"wa-no-jo  wo-wo pa-ro  ne-ti-ja-no a-ke-o-jo CAPm 100"""" on PY Cn 599. Appears as """"a2-pa-tu-wo-te  pa-ro  a-ke-ra-wo  a-ke-o-jo CAPm 90"""" on PY Cn 599. Appears as """"a2-pa-tu-wo-te  pa-ro  [[ru-we-ta]]  a-ke-o-jo CAPf 40"""" on PY Cn 599. Appears as """"wa-no-jo  wo-wo  pa-ro  ke-re-no  a-ke-o-jo CAPf 80"""" on PY Cn 599. CAP: PY Cc? PY Cn OVIS: PY Cn VIR: PY An Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀐𐀄,a-ke-u,"anthroponym cf. Ἀλκεύς  genitive of a-ke-u Appears as """"a-ke-wo do-e-ra"""" on KN Ap 628+. KN V: di-we-so [[i-wa-ka]] ka-pa-ri-jo ki-si-wi-jo [[me-nu-wa]] o-ku-na-wo pe-ri-ta wi-da-jo MUL: KN Ap OVIS: KN De KN Dv e-ko-so (u-ta-jo): KN Dv ra-ja: KN De Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀐𐀄,a-ke-u,powerfull
𐀀𐀐𐀚𐀄𐀯,a-ke-ne-u-si,
𐀀𐀐𐀚𐀄𐀯,a-ke-ne-u-si,being purified
𐀀𐀐𐀤,a-ke-qe,
𐀀𐀐𐀨𐀜,a-ke-ra-no,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀐𐀨𐀺,a-ke-ra-wo,anthroponym cf. Ἀγέλαος Ἀγέλεως Ἀρχέλαος Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀐𐀩,a-ke-re,'he collects (goats)' cf. ἀγείρω Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀐𐀩𐀄,a-ke-re-u,"Ramón 2011: anthroponym derived from toponym a-ke-re-wa Melena 2000-2001: toponym  anthroponym or occupation?  dative singular or nominative plural of a-ke-re-u cf. qa-si-re-u / qa-si-re-wi-ja Melena 2000-2001: adjective of toponym a-ke-re-u cf. a-ke-re-wi-jo Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek Melena José 2000-2001 Minos 35-36 """"63 Joins and Quasi-joins of Fragments in the Linear B Tablets from Pylos"""" Ramón J.L. García 2011 A Companion to Linear B: Mycenaean Greek Texts and their World vol. II (ed. Yves Duhoux and Anna Morpurgo Davies) “Mycenaean Onomastics”"
𐀀𐀐𐀩𐀄𐀳,a-ke-re-u-te,"toponym? """"perhaps ablative in -euthen"""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀐𐀩𐀗,a-ke-re-mo,occupation 'hunter' cf. ἀργεμών  genitive of a-ke-re-mo a-ke-re-mo-no in KN V: ko-re-te po-ro-ko-re-te qa-ra: KN V ru-ki-to: KN V? Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀐𐀩𐀮,a-ke-re-se,"'took' or 'will take' cf. ἀγρέω ἄγρει cf. (o-) o-di-do-si o-de-ka-sa-to o-wo-ze  """"thus he took (will take)"""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀐𐀩𐀮,a-ke-re-se,took
𐀀𐀐𐀩𐀷,a-ke-re-wa,Hither Province toponym  anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀐𐀩𐀹𐀍,a-ke-re-wi-jo,anthroponym Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀐𐀫,a-ke-ro,"1. (PY Cn PY Ea PY Vn) occupational term 2. (PY Jo) anthroponym a-*64-jo is a-ke-ro in the PY Cn series. [[wa-tu-o-ko]] is a-ke-ro """"pa-ro da-mo"""" in the PY Ea series. CAP: PY Cn Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀐𐀫,a-ke-ro,messenger
𐀀𐀐𐀲,a-ke-ta,anthroponym cf. Ἀγήτας Ἀκέστης Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀐𐀳𐀩,a-ke-te-re,"Shelmerdine 2008: 'finishers'  description of bronzesmiths probably 'those who practise their craft' cf. ἀσκέω 'work raw materials'  nominative singular of a-ke-te-re? """"perhaps error"""" Shelmerdine Cynthia 2008 A Companion to Linear B: Mycenaean Greek Texts and their World vol. I (ed. Yves Duhoux and Anna Morpurgo Davies) """"Mycenaean Society"""" Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek"
𐀀𐀐𐀴𐀍,a-ke-ti-jo,anthroponym cf. Ἀκέστιος Chadwick John and Michael Ventris 1973 Documents in Mycenaean Greek
𐀀𐀐𐀴𐀪𐀀,a-ke-ti-ri-a,decorator (female)
